time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-16T13:31:50.520Z,19.2278333333333,-155.3895,31.88,3.05,md,56,153,,0.11,hv,hv72231777,2020-11-17T13:33:35.061Z,"9 km ENE of Pāhala, Hawaii",earthquake,0.5,0.51,0.140225854086137,24,reviewed,hv,hv
2020-11-16T12:36:11.434Z,-21.3641,170.5557,151.84,4.7,mb,,116,2.355,0.7,us,us7000cfmp,2020-11-16T13:46:13.040Z,"241 km SSE of Isangel, Vanuatu",earthquake,4,7.4,0.081,49,reviewed,us,us
2020-11-16T12:05:28.039Z,41.8181,-126.0526,10,3.7,mb,,182,1.626,0.63,us,us7000cflt,2020-11-16T14:31:19.040Z,"146 km WSW of Pistol River, Oregon",earthquake,7.1,2,0.151,11,reviewed,us,us
2020-11-16T11:21:17.830Z,-62.3824,-58.4868,10,4.7,mb,,83,0.167,0.46,us,us7000cfll,2020-11-16T14:59:25.040Z,"South Shetland Islands",earthquake,3.4,1.9,0.174,11,reviewed,us,us
2020-11-16T10:56:22.320Z,35.8881667,-117.7236667,7.67,3.59,mw,46,29,0.08421,0.17,ci,ci39466903,2020-11-17T10:59:06.476Z,"17km ESE of Little Lake, CA",earthquake,0.14,0.45,,4,reviewed,ci,ci
2020-11-16T10:07:00.850Z,17.8976,-66.9856,11,2.83,md,10,256,0.0927,0.13,pr,pr2020321004,2020-11-16T11:19:37.490Z,"Puerto Rico region",earthquake,0.59,0.68,0.48,5,reviewed,pr,pr
2020-11-16T09:28:01.580Z,34.0433333,-117.2331667,15.06,3.41,ml,177,24,0.07439,0.21,ci,ci39466855,2020-11-18T02:49:17.985Z,"3km ESE of Loma Linda, CA",earthquake,0.11,0.19,0.123,265,reviewed,ci,ci
2020-11-16T08:45:10.280Z,35.034,-84.9171667,6.56,2.5,md,17,45,0.2652,0.15,se,se60315057,2020-11-18T00:35:28.666Z,"8 km SW of Wildwood Lake, Tennessee",earthquake,0.3,3.72,0.05,11,reviewed,se,se
2020-11-16T08:21:05.561Z,44.3287,-115.0088,10,2.5,ml,,60,0.124,0.72,us,us7000cfjx,2020-11-17T08:33:51.493Z,"13 km NNW of Stanley, Idaho",earthquake,1.3,2,0.057,40,reviewed,us,us
2020-11-16T07:51:06.034Z,-15.8905,-173.6473,110.34,4.6,mb,,124,4.598,0.39,us,us7000cfjw,2020-11-16T08:30:30.040Z,"17 km ENE of Hihifo, Tonga",earthquake,12.9,7.5,0.038,208,reviewed,us,us
2020-11-16T07:19:11.946Z,21.9599,121.4559,62.13,4.8,mb,,120,0.922,0.72,us,us7000cfjs,2020-11-16T07:38:29.040Z,"73 km E of Hengchun, Taiwan",earthquake,8,4.8,0.069,65,reviewed,us,us
2020-11-16T07:18:39.850Z,19.3566666666667,-155.108166666667,7.12,2.88,ml,35,175,,0.09,hv,hv72231287,2020-11-17T11:23:55.040Z,"12 km SSE of Fern Forest, Hawaii",earthquake,0.42,0.48,0.148644796709043,35,reviewed,hv,hv
2020-11-16T05:39:47.720Z,38.8375015,-122.8306656,1.98,2.57,md,26,77,0.003919,0.02,nc,nc73482766,2020-11-17T06:43:04.335Z,"9km NW of The Geysers, CA",earthquake,0.19,0.33,0.16,6,automatic,nc,nc
2020-11-16T05:34:45.285Z,-34.3339,-72.6262,10,4.5,mwr,,151,0.885,0.59,us,us7000cfj8,2020-11-16T13:03:20.040Z,"112 km N of Constitución, Chile",earthquake,4.3,1.9,,,reviewed,us,guc
2020-11-16T05:01:30.266Z,44.3434,-115.0213,16.77,2.6,ml,,62,0.895,0.51,us,us7000cfiz,2020-11-16T22:41:51.700Z,"15 km NNW of Stanley, Idaho",earthquake,2.3,10,0.059,38,reviewed,us,us
2020-11-16T04:43:08.432Z,38.1894,-117.7482,10.6,3.6,ml,37,58.02,0.038,0.149,nn,nn00784475,2020-11-18T04:48:47.690Z,"38 km SE of Mina, Nevada",earthquake,,0.6,0.36,18,reviewed,nn,nn
2020-11-16T03:53:20.240Z,44.3591,-115.0211,15.85,2.5,ml,,61,0.909,0.6,us,us7000cfif,2020-11-16T04:15:44.040Z,"17 km NNW of Stanley, Idaho",earthquake,2.1,10.3,0.062,34,reviewed,us,us
2020-11-16T03:24:40.511Z,66.3335,-157.4736,0,2.5,ml,,,,0.96,ak,ak020eqxfxni,2020-11-16T03:37:41.589Z,"63 km SSW of Shungnak, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-11-16T02:23:29.884Z,44.3239,-115.0032,10,2.6,ml,,61,0.118,0.69,us,us7000cfhx,2020-11-18T04:45:25.040Z,"12 km NNW of Stanley, Idaho",earthquake,1.7,1.9,0.056,42,reviewed,us,us
2020-11-16T01:21:42.040Z,19.3601666666667,-155.11,7.42,3.01,ml,29,173,,0.12,hv,hv72230907,2020-11-18T04:42:59.040Z,"11 km SSE of Fern Forest, Hawaii",earthquake,0.53,0.46,0.134859038667362,35,reviewed,hv,hv
2020-11-16T00:46:39.276Z,38.1669,-117.8617,4.4,3,ml,29,37.41,0.009,0.1176,nn,nn00784390,2020-11-16T01:38:04.147Z,"32 km SE of Mina, Nevada",earthquake,,0.6,0.3,13,reviewed,nn,nn
2020-11-16T00:28:04.247Z,-5.9008,130.8801,115,4.4,mb,,141,3.261,0.91,us,us7000cfh8,2020-11-16T00:50:30.040Z,"209 km W of Tual, Indonesia",earthquake,7.9,11.2,0.179,9,reviewed,us,us
